dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,PLS,5,KNN,2,0.9245821307543635,0.8176185724673877,0.12698125270233818,0.23200524993198657,0.7976008780520253,0.5856133225354011,0.002858766005374491,0.0015308480942621827,0.00027980899903923273,,
DS-B,PLS,5,GaussianNB,2,0.8475788897963407,0.6988982929838459,0.06252794725775046,0.11092546171681983,0.7850509425385902,0.587972831267026,0.002858766005374491,0.000694993999786675,0.0011005679843947291,,
DS-B,PLS,5,QDA,2,0.8949478748997595,0.7974074079031471,-0.026452425914360367,-0.03349594616912566,0.9214003008141198,0.8309033540722728,0.002858766005374491,0.0006159009644761682,0.00498798699118197,,
DS-B,PLS,5,ShrinkageLDA,2,0.8481775616317873,0.7183676468691906,-0.003396169239354263,-0.008318548196389997,0.8515737308711415,0.7266861950655806,0.002858766005374491,0.001781773054972291,0.005233507952652872,,
DS-B,PLS,5,LogRegL2,2,0.8502063939630227,0.7118346695339904,0.00023281682489573186,-0.024981966813835355,0.8499735771381269,0.7368166363478258,0.002858766005374491,0.03113141597714275,0.1340554450871423,,
DS-B,PLS,5,KDEBayes,2,0.9464706077997332,0.874947639895112,0.21310130488287105,0.4130698763157699,0.7333693029168622,0.4618777635793421,0.002858766005374491,0.0015072860987856984,0.004963595070876181,,
DS-B,PLS,5,MLP,3,0.9499111231009724,0.8848277719061025,0.012586890565005948,0.028103247948959242,0.9373242325359664,0.8567245239571433,0.002826207084581256,7.577695581014268,3.4892366180429235,,
DS-B,PLS,5,HGBT,3,0.9441646125817168,0.8789913901011617,-0.010173725697434244,-0.015803508421306067,0.954338338279151,0.8947948985224677,0.002826207084581256,0.2147850759793073,0.31330614699982107,,
DS-B,PLS,5,SVM_linear,3,0.8341826836019349,0.6905958288754935,-0.006452352004257311,-0.04628390587137843,0.8406350356061922,0.736879734746872,0.002826207084581256,0.8224913520971313,1.7091636289842427,,
DS-B,PLS,5,SVM_rbf,3,0.9362987298548775,0.8621612705023676,0.02614015572858719,0.024123477257381842,0.9101585741262903,0.8380377932449857,0.002826207084581256,0.4727179229957983,0.9543122570030391,,
DS-B,PLS,5,KNN,3,0.9071744537119502,0.7935890256670088,0.1194738339757353,0.23385548230756215,0.7877006197362149,0.5597335433594467,0.002826207084581256,0.0015231278957799077,0.0002781560178846121,,
DS-B,PLS,5,GaussianNB,3,0.8312410614969012,0.6537801358207914,0.049342384857297916,0.08937612611103751,0.7818986766396033,0.5644040097097539,0.002826207084581256,0.0007101460359990597,0.0012677219929173589,,
DS-B,PLS,5,QDA,3,0.8805095362510578,0.7717393606778968,-0.023932091397233624,-0.034699654778103994,0.9044416276482914,0.8064390154560008,0.002826207084581256,0.0006174599984660745,0.002514712978154421,,
DS-B,PLS,5,ShrinkageLDA,3,0.8379779673982536,0.6899645127540192,-0.0029120580637769233,-0.01551410802744968,0.8408900254620305,0.7054786207814688,0.002826207084581256,0.0017955739749595523,0.004832971026189625,,
DS-B,PLS,5,LogRegL2,3,0.8415330433593621,0.6961610340868718,-0.004161138806869191,-0.036803264981307926,0.8456941821662313,0.7329642990681797,0.002826207084581256,0.028419569018296897,0.1480572399450466,,
DS-B,PLS,5,KDEBayes,3,0.9353323552563018,0.8576131284893468,0.2211316375892003,0.40183385950825934,0.7142007176671015,0.45577926898108745,0.002826207084581256,0.0016863849014043808,0.004978692973963916,,
DS-B,PLS,5,MLP,4,0.9459495415725854,0.8878769795420757,0.010358500955288119,0.02448766851930506,0.9355910406172973,0.8633893110227706,0.002809135941788554,5.354325867025182,3.8312308019958436,,
DS-B,PLS,5,HGBT,4,0.9386620054028286,0.8705073309621628,-0.016012623845616525,-0.03431234755107648,0.9546746292484452,0.9048196785132393,0.002809135941788554,0.3559171420056373,0.2480067249853164,,
DS-B,PLS,5,SVM_linear,4,0.833373367972535,0.6999691719616851,0.0009608313408401292,-0.028302223911542357,0.8324125366316949,0.7282713958732274,0.002809135941788554,0.8085374259389937,1.6824171900516376,,
DS-B,PLS,5,SVM_rbf,4,0.9380965931137957,0.8770387372609146,0.033786155898580694,0.04329654396973581,0.904310437215215,0.8337421932911788,0.002809135941788554,0.4634407110279426,0.9465266900369897,,
