dataset,method,q,model,fold,F12,G12,a1,a2,b1,b2,n1,n2,coverage,beta_pos,beta_neg,S_val,S_test,t_reducer,t_model,unary_device,n_selected,selected_indices
DS-B,PLS,10,UnaryMLP,1,0.2566301137815653,0.19561782155578664,0.3488372093023256,0.203559510567297,0.2823920265780731,0.15016685205784205,301,899,0.460833340883255,0.9746997356414795,1.0059071779251099,0.25323476649935156,0.20772565839261864,0.004456424969248474,0.0,cuda:0,,
DS-B,PLS,10,UnaryMLP,2,0.2246707429459281,0.2645574566664497,0.2691029900332226,0.1935483870967742,0.3521594684385382,0.21245828698553948,301,899,0.36916667222976685,0.9826104044914246,1.008483648300171,0.16394945566282337,0.15853137877931567,0.004019048064947128,0.0,cuda:0,,
DS-B,PLS,10,UnaryMLP,3,0.22574683339735177,0.21636732203221862,0.27906976744186046,0.19021134593993325,0.34551495016611294,0.15795328142380421,301,899,0.41833335161209106,0.9681479930877686,1.0050698518753052,0.18014657937651352,0.1716550028892971,0.004368960973806679,0.0,cuda:0,,
DS-B,PLS,10,UnaryMLP,4,0.3371225065064355,0.28430922197092445,0.3554817275747508,0.32146829810901,0.38870431893687707,0.22469410456062291,301,899,0.4766666889190674,0.9647945165634155,1.004318356513977,0.28671679838044434,0.2660452010137044,0.004351618932560086,0.0,cuda:0,,
DS-B,PLS,10,UnaryMLP,5,0.33800018657643693,0.12085526404196135,0.423841059602649,0.2817371937639198,0.16225165562913907,0.09688195991091314,302,898,0.5491666793823242,0.9728407263755798,1.0028241872787476,0.30422550128675097,0.3077863705659466,0.004037309088744223,0.0,cuda:0,,
DS-B,PLS,15,UnaryMLP,1,0.34775685157311614,0.2224029453918783,0.3388704318936877,0.3581757508342603,0.2292358803986711,0.21690767519466073,301,899,0.45000001788139343,0.9921728372573853,1.0019629001617432,0.3008272018833723,0.29215611522514656,0.005914360983297229,0.0,cuda:0,,
DS-B,PLS,15,UnaryMLP,2,0.32560418727436435,0.1606693355665419,0.34219269102990035,0.3114571746384872,0.19601328903654486,0.13681868743047831,301,899,0.4866666793823242,0.9909712076187134,1.0077804327011108,0.27698764844634305,0.2854368533827289,0.005422868067398667,0.0,cuda:0,,
DS-B,PLS,15,UnaryMLP,3,0.2595029871486776,0.18148945443316386,0.23255813953488372,0.29477196885428253,0.17940199335548174,0.1846496106785317,301,899,0.34333333373069763,1.0025337934494019,0.9937616586685181,0.24229751154116916,0.21413062354038662,0.006010266952216625,0.0,cuda:0,,
DS-B,PLS,15,UnaryMLP,4,0.25917075746551493,0.3136945008705597,0.2724252491694352,0.24805339265850945,0.3023255813953488,0.3270300333704116,301,899,0.3166666626930237,0.9553788900375366,0.9831235408782959,0.21357978273942815,0.180747132247875,0.005351321073248982,0.0,cuda:0,,
DS-B,PLS,15,UnaryMLP,5,0.3335146984251547,0.17962630298981042,0.32450331125827814,0.344097995545657,0.18211920529801323,0.17817371937639198,302,898,0.45083335041999817,0.9970448017120361,0.9990384578704834,0.30064349349445424,0.2886081226777021,0.0055218449560925364,0.0,cuda:0,,
