dataset,method,q,model,AUC_mean,AUC_std,PR_AUC_mean,PR_AUC_std,dAUC_mean,dAUC_std,dPR_mean,dPR_std,t_red_med,t_mod_med
DS-B,PCA,15,HGBT,0.8918623811495004,0.016648994750958875,0.7235688060074453,0.028567480801078987,-0.06604843936482421,0.01419595793648507,-0.1822663916475978,0.02425798439875206,0.0010875799925997853,0.29127211193554103
DS-B,PLS,5,KDEBayes,0.9421322393156502,0.00676855200957688,0.8737743447187167,0.014011902278539585,0.2279085690180375,0.01208347089645339,0.429259482327069,0.022520186196623864,0.002858766005374491,0.001542413025163114
DS-B,PLS,5,KNN,0.916262188885589,0.011354343103474324,0.8092613266632664,0.01620092693606618,0.12032559132141499,0.00646888021927317,0.23714138131176968,0.004996983302210614,0.002858766005374491,0.0015231278957799077
DS-B,PLS,5,GaussianNB,0.8443618607567863,0.011837375035111149,0.689647124508694,0.02557875627306344,0.055558902854749,0.014699774384866875,0.1026313844355335,0.020160054971648907,0.002858766005374491,0.0006998589960858226
DS-B,PLS,5,SVM_rbf,0.9435201158391425,0.0074447029362642225,0.8821190211313941,0.013379768954262175,0.02954689150372374,0.007209496995897963,0.03221970066417177,0.010011929790640733,0.002858766005374491,0.47251983103342354
DS-B,PLS,5,MLP,0.954916451718913,0.00729211430001304,0.8988768506358168,0.011672272919141115,0.017052001407351348,0.007912621392555523,0.033890751472243075,0.01430252677723947,0.002858766005374491,5.4767744350247085
DS-B,PLS,5,SVM_linear,0.8437924324858972,0.009963744704268515,0.7123910783371928,0.018360800254586595,-0.0003233299029860026,0.004556907919446003,-0.03029650471007077,0.009893896642769585,0.002858766005374491,0.8184803189942613
DS-B,PLS,5,LogRegL2,0.8486201082509759,0.008596535221706985,0.7075234398386216,0.012899066016466763,-0.0005499929042774188,0.0029529897031672506,-0.02623212444996139,0.007140685777565672,0.002858766005374491,0.03175422898493707
DS-B,PLS,5,ShrinkageLDA,0.8455998530221633,0.010010721468612933,0.7111738236478087,0.017805722306684407,-0.001599216134643422,0.0014823557470202231,-0.0076153328675126804,0.005102452738999805,0.002858766005374491,0.0017955739749595523
DS-B,PLS,5,HGBT,0.9452741745010748,0.004883990378255921,0.8825338081045417,0.008328734822653725,-0.012636646013250052,0.0030548439501917484,-0.023301389550501428,0.008069210757836617,0.002858766005374491,0.2825712540652603
DS-B,PLS,5,QDA,0.8925557163455109,0.010238155362953215,0.794244946776771,0.017487293856245822,-0.01842909133892783,0.009930154763632123,-0.028217930480037713,0.014002145867978908,0.002858766005374491,0.0006174599984660745
DS-B,PLS,10,KDEBayes,0.9399345140482975,0.006586670902327225,0.8732907788775097,0.010673571128579855,0.2257108437506849,0.014495738903341944,0.4287759164858621,0.02563258915091228,0.004351618932560086,0.00252571702003479
DS-B,PLS,10,KNN,0.9240995165434454,0.009088236425960867,0.8202997326347894,0.015544279382071181,0.1281629189792714,0.013839194665897973,0.24817978728329262,0.01826415685287572,0.004351618932560086,0.0023573340149596334
DS-B,PLS,10,GaussianNB,0.8494956996849172,0.006247200359928257,0.7227313580749775,0.012282625231718913,0.060692741782879825,0.01153481116763288,0.13571561800181692,0.0122524173014576,0.004351618932560086,0.0007845989894121885
DS-B,PLS,10,SVM_rbf,0.9476747970942787,0.004326860025161302,0.8918097687783966,0.010993454357914597,0.0337015727588599,0.005917747886687622,0.04191044831117439,0.010894541818376919,0.004351618932560086,0.514175612013787
DS-B,PLS,10,MLP,0.9601824468884749,0.008028489486486011,0.911713724072569,0.01761309546348841,0.022317996576913312,0.010395287656015115,0.04672762490899511,0.022847818874049276,0.004351618932560086,9.693499333108775
DS-B,PLS,10,ShrinkageLDA,0.8467230734493288,0.010374105219527998,0.7188879102412364,0.016349276846522494,-0.00047599570747793864,0.0005150072615486279,9.875372591516829e-05,0.000776203855440211,0.004351618932560086,0.002988744992762804
DS-B,PLS,10,SVM_linear,0.8432610205190303,0.011694243873733669,0.736279571407387,0.014258775778757908,-0.0008547418698529486,0.003014139150805037,-0.006408011639876676,0.0043736085787879665,0.004351618932560086,0.9740826450288296
DS-B,PLS,10,LogRegL2,0.8480875361658976,0.010489368177389767,0.7289123693764148,0.012691508491870755,-0.00108256498935555,0.0017606395297907178,-0.004843194912168313,0.0028676030280119047,0.004351618932560086,0.07306902599520981
DS-B,PLS,10,QDA,0.9098582314656205,0.008582335919280131,0.8350113296471051,0.011525221698964938,-0.0011265762188181095,0.005553612930267862,0.012548452390296384,0.008148185984318435,0.004351618932560086,0.0012384429574012756
DS-B,PLS,10,HGBT,0.9549126028425791,0.003105565433126102,0.9026160835169341,0.007639438492435365,-0.00299821767174564,0.0014686431884479065,-0.0032191141381091803,0.0028202243591841335,0.004351618932560086,0.2887458309996873
DS-B,PLS,15,KDEBayes,0.9004434176266267,0.006032622658094194,0.7986391679775537,0.015392081214792503,0.1862197473290141,0.0187728842415772,0.35412430558590613,0.03431898046576318,0.0055218449560925364,0.0031315800733864307
DS-B,PLS,15,KNN,0.8957994055013236,0.005813622624111583,0.7642648545279609,0.013687417484674173,0.09986280793714963,0.015077646968332675,0.19214490917646404,0.019455195366953143,0.0055218449560925364,0.0029033509781584144
DS-B,PLS,15,GaussianNB,0.8475346071476434,0.006147065480044151,0.7195717254879642,0.013029454576775134,0.0587316492456059,0.012187861715651687,0.13255598541480365,0.013694343961391674,0.0055218449560925364,0.0008487780578434467
DS-B,PLS,15,SVM_rbf,0.935510189762546,0.006443098773840399,0.8736036788218764,0.013944493318466658,0.021536965427127065,0.005119475305982592,0.023704358354654186,0.0075977794432272846,0.0055218449560925364,0.638172845938243
DS-B,PLS,15,MLP,0.9521694368537121,0.004795616762837826,0.8923311262263889,0.011243524557689857,0.014304986542150466,0.0066155922427628125,0.027345027062815053,0.016916431884560476,0.0055218449560925364,5.784333241987042
DS-B,PLS,15,ShrinkageLDA,0.8461344134300794,0.010161050323544434,0.7171887220519604,0.016103191392100525,-0.0010646557267273594,0.000396060893214635,-0.001600434463360978,0.0003015555055664906,0.0055218449560925364,0.0034580340143293142
DS-B,PLS,15,SVM_linear,0.8429645466378449,0.011794175294474664,0.7362832119335809,0.013987583327128133,-0.0011512157510382703,0.0025459346866683373,-0.006404371113682661,0.004149767671647093,0.0055218449560925364,1.1227245120098814
DS-B,PLS,15,LogRegL2,0.8469917942661118,0.01035531737379378,0.7278175726066335,0.012611075206527838,-0.002178306889141357,0.00131729176423465,-0.005937991681949528,0.002542478978039923,0.0055218449560925364,0.09107906906865537
DS-B,PLS,15,QDA,0.9086678353923887,0.008126492044814707,0.8336525803756236,0.011148845203609505,-0.00231697229204999,0.003733483656894316,0.011189703118814908,0.007027411623104256,0.0055218449560925364,0.0015108049847185612
DS-B,PLS,15,HGBT,0.951613880616852,0.005340159820071126,0.8969926851544077,0.010379816656709572,-0.006296939897472686,0.0034703117550826186,-0.008842512500635525,0.00772483199482653,0.0055218449560925364,0.30929365404881537
