dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,Ensembleunar,10,LogRegL2,2,0.8544044878214627,0.7292886870657672,0.004430910683335787,-0.007527949282058577,0.8499735771381269,0.7368166363478258,2668.3246511309408,0.07396833901293576,0.13351121998857707,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,KDEBayes,2,0.9695194734644252,0.9228172912402086,0.23615017054756304,0.4609395276608665,0.7333693029168622,0.4618777635793421,2668.3246511309408,0.0025603370741009712,0.004969735979102552,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,MLP,3,0.9767072309949408,0.9419549217237532,0.039382998458974416,0.0852303977666099,0.9373242325359664,0.8567245239571433,2668.8616971310694,1.9748601920437068,2.483230451005511,10,"2,5,6,9,11,18,22,25,26,27"
DS-B,Ensembleunar,10,HGBT,3,0.9603509251697162,0.9081073683868351,0.006012586890565164,0.013312469864367404,0.954338338279151,0.8947948985224677,2668.8616971310694,0.17889464495237917,0.25538749305997044,10,"2,5,6,9,11,18,22,25,26,27"
DS-B,Ensembleunar,10,SVM_linear,3,0.8423479022464977,0.7412220918803633,0.0017128666403054549,0.0043423571334912925,0.8406350356061922,0.736879734746872,2668.8616971310694,0.8808636729372665,1.6930817600805312,10,"2,5,6,9,11,18,22,25,26,27"
DS-B,Ensembleunar,10,SVM_rbf,3,0.9544806152276986,0.8974055934175028,0.04432204110140825,0.05936780017251708,0.9101585741262903,0.8380377932449857,2668.8616971310694,0.46411088900640607,0.9354675220092759,10,"2,5,6,9,11,18,22,25,26,27"
DS-B,Ensembleunar,10,KNN,3,0.9319361860169475,0.8290762074412871,0.14423556628073264,0.2693426640818404,0.7877006197362149,0.5597335433594467,2668.8616971310694,0.0023937539663165808,0.00032060802914202213,10,"2,5,6,9,11,18,22,25,26,27"
DS-B,Ensembleunar,10,GaussianNB,3,0.8058529410677793,0.6046812401800994,0.023954264428175942,0.04027723047034548,0.7818986766396033,0.5644040097097539,2668.8616971310694,0.0007049780106171966,0.001154883997514844,10,"2,5,6,9,11,18,22,25,26,27"
DS-B,Ensembleunar,10,QDA,3,0.9151659836141302,0.8254503482282418,0.010724355965838761,0.019011332772240985,0.9044416276482914,0.8064390154560008,2668.8616971310694,0.0012314049527049065,0.005258330027572811,10,"2,5,6,9,11,18,22,25,26,27"
DS-B,Ensembleunar,10,ShrinkageLDA,3,0.8438464295876926,0.7117586983855615,0.0029564041256621154,0.00628007760409266,0.8408900254620305,0.7054786207814688,2668.8616971310694,0.003050004946999252,0.005228083929978311,10,"2,5,6,9,11,18,22,25,26,27"
DS-B,Ensembleunar,10,LogRegL2,3,0.8490644828694859,0.7399901321325612,0.003370300703254614,0.007025833064381426,0.8456941821662313,0.7329642990681797,2668.8616971310694,0.07362117897719145,0.1193286000052467,10,"2,5,6,9,11,18,22,25,26,27"
DS-B,Ensembleunar,10,KDEBayes,3,0.9563486930846014,0.8993956167249905,0.24214797541749988,0.443616347743903,0.7142007176671015,0.45577926898108745,2668.8616971310694,0.0025631349999457598,0.004973861970938742,10,"2,5,6,9,11,18,22,25,26,27"
DS-B,Ensembleunar,10,MLP,4,0.9822394022150859,0.9546035167832165,0.04664836159778862,0.09121420576044592,0.9355910406172973,0.8633893110227706,2669.5260122710606,3.4797287770779803,2.562098569003865,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,HGBT,4,0.9679156242262537,0.9283983991738246,0.013240994977808507,0.023578720660585306,0.9546746292484452,0.9048196785132393,2669.5260122710606,0.3098885769722983,0.2505747419781983,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,SVM_linear,4,0.8355906710667814,0.7193977365688385,0.0031781344350865215,-0.008873659304388881,0.8324125366316949,0.7282713958732274,2669.5260122710606,0.9262898520100862,1.675676817074418,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,SVM_rbf,4,0.9549628786506972,0.9128136911005087,0.0506524414354822,0.07907149780932987,0.904310437215215,0.8337421932911788,2669.5260122710606,0.46533364593051374,0.9519176869653165,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,KNN,4,0.949207129368549,0.8695790973954443,0.16734356002793804,0.3183145961991187,0.781863569340611,0.5512645011963255,2669.5260122710606,0.0024147139629349113,0.00027865206357091665,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,GaussianNB,4,0.7991973362798827,0.596039633039002,0.0008869212376985125,0.00904743442956335,0.7983104150421841,0.5869921986094386,2669.5260122710606,0.0007191190961748362,0.0011153069790452719,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,QDA,4,0.9159087801507027,0.8282836874752905,0.018699256094811822,0.018848645133538122,0.8972095240558908,0.8094350423417523,2669.5260122710606,0.0012533690314739943,0.005352618056349456,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,ShrinkageLDA,4,0.8396446402240955,0.7114762368273013,0.006792338478708304,0.011267713840459104,0.8328523017453872,0.7002085229868422,2669.5260122710606,0.0030402479460462928,0.005185792921110988,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,LogRegL2,4,0.8410858872353556,0.7101895679052186,0.004966758931112092,-0.006146412783102684,0.8361191283042435,0.7163359806883213,2669.5260122710606,0.06114651297684759,0.1604516200022772,10,"2,5,6,9,18,22,25,26,27,29"
